ff,T,lambdaEff_nm,D_lambda,type
0.1403448275862069,3200.0,418.0,3502.9519106276607,spot
0.14517241379310344,3200.0,418.0,3516.5353416873877,spot
0.15,3200.0,418.0,3530.1779560039654,spot
0.01,3200.0,418.0,3166.3535692060264,spot
0.014827586206896552,3200.0,418.0,3177.859919890724,spot
0.019655172413793102,3200.0,418.0,3189.4132034663294,spot
0.024482758620689653,3200.0,418.0,3201.0516941274327,spot
0.029310344827586203,3200.0,418.0,3212.769135892857,spot
0.03413793103448275,3200.0,418.0,3224.5571654844207,spot
0.03896551724137931,3200.0,418.0,3236.3977771077134,spot
0.04379310344827586,3200.0,418.0,3248.320588908449,spot
0.04862068965517241,3200.0,418.0,3260.3111064702925,spot
0.05344827586206896,3200.0,418.0,3272.3894670139143,spot
0.05827586206896551,3200.0,418.0,3284.544820167379,spot
0.06310344827586206,3200.0,418.0,3296.7624458749565,spot
0.06793103448275861,3200.0,418.0,3309.054368552,spot
0.07275862068965516,3200.0,418.0,3321.4292455830964,spot
0.07758620689655171,3200.0,418.0,3333.872578101249,spot
0.08241379310344826,3200.0,418.0,3346.379419398082,spot
0.08724137931034481,3200.0,418.0,3359.001681793372,spot
0.09206896551724136,3200.0,418.0,3371.685417573489,spot
0.09689655172413791,3200.0,418.0,3384.4384084074086,spot
0.10172413793103446,3200.0,418.0,3397.284329858086,spot
0.10655172413793101,3200.0,418.0,3410.2076079312033,spot
0.11137931034482756,3200.0,418.0,3423.2144916679363,spot
0.11620689655172411,3200.0,418.0,3436.288204646365,spot
0.12103448275862067,3200.0,418.0,3449.4547656050977,spot
0.12586206896551724,3200.0,418.0,3462.7106824346442,spot
0.1306896551724138,3200.0,418.0,3476.025701103835,spot
0.13551724137931034,3200.0,418.0,3489.4402346070665,spot
0.1403448275862069,3200.0,418.0,3502.9519106276607,spot
0.14517241379310344,3200.0,418.0,3516.5353416873877,spot
0.15,3200.0,418.0,3530.1779560039654,spot
0.01,3200.0,418.0,3166.3535692060264,spot
0.014827586206896552,3200.0,418.0,3177.859919890724,spot
0.019655172413793102,3200.0,418.0,3189.4132034663294,spot
0.024482758620689653,3200.0,418.0,3201.0516941274327,spot
0.029310344827586203,3200.0,418.0,3212.769135892857,spot
0.03413793103448275,3200.0,418.0,3224.5571654844207,spot
0.03896551724137931,3200.0,418.0,3236.3977771077134,spot
0.04379310344827586,3200.0,418.0,3248.320588908449,spot
0.04862068965517241,3200.0,418.0,3260.3111064702925,spot
0.05344827586206896,3200.0,418.0,3272.3894670139143,spot
0.05827586206896551,3200.0,418.0,3284.544820167379,spot
0.06310344827586206,3200.0,418.0,3296.7624458749565,spot
0.06793103448275861,3200.0,418.0,3309.054368552,spot
0.07275862068965516,3200.0,418.0,3321.4292455830964,spot
0.07758620689655171,3200.0,418.0,3333.872578101249,spot
0.08241379310344826,3200.0,418.0,3346.379419398082,spot
0.08724137931034481,3200.0,418.0,3359.001681793372,spot
0.09206896551724136,3200.0,418.0,3371.685417573489,spot
0.09689655172413791,3200.0,418.0,3384.4384084074086,spot
0.10172413793103446,3200.0,418.0,3397.284329858086,spot
0.10655172413793101,3200.0,418.0,3410.2076079312033,spot
0.11137931034482756,3200.0,418.0,3423.2144916679363,spot
0.11620689655172411,3200.0,418.0,3436.288204646365,spot
0.12103448275862067,3200.0,418.0,3449.4547656050977,spot
0.12586206896551724,3200.0,418.0,3462.7106824346442,spot
0.1306896551724138,3200.0,418.0,3476.025701103835,spot
0.13551724137931034,3200.0,418.0,3489.4402346070665,spot
0.1403448275862069,3200.0,418.0,3502.9519106276607,spot
0.14517241379310344,3200.0,418.0,3516.5353416873877,spot
0.15,3200.0,418.0,3530.1779560039654,spot
0.01,3200.0,418.0,3166.3535692060264,spot
0.014827586206896552,3200.0,418.0,3177.859919890724,spot
0.019655172413793102,3200.0,418.0,3189.4132034663294,spot
0.024482758620689653,3200.0,418.0,3201.0516941274327,spot
0.029310344827586203,3200.0,418.0,3212.769135892857,spot
0.03413793103448275,3200.0,418.0,3224.5571654844207,spot
0.03896551724137931,3200.0,418.0,3236.3977771077134,spot
0.04379310344827586,3200.0,418.0,3248.320588908449,spot
0.04862068965517241,3200.0,418.0,3260.3111064702925,spot
0.05344827586206896,3200.0,418.0,3272.3894670139143,spot
0.05827586206896551,3200.0,418.0,3284.544820167379,spot
0.06310344827586206,3200.0,418.0,3296.7624458749565,spot
0.06793103448275861,3200.0,418.0,3309.054368552,spot
0.07275862068965516,3200.0,418.0,3321.4292455830964,spot
0.07758620689655171,3200.0,418.0,3333.872578101249,spot
0.08241379310344826,3200.0,418.0,3346.379419398082,spot
0.08724137931034481,3200.0,418.0,3359.001681793372,spot
0.09206896551724136,3200.0,418.0,3371.685417573489,spot
0.09689655172413791,3200.0,418.0,3384.4384084074086,spot
0.10172413793103446,3200.0,418.0,3397.284329858086,spot
0.10655172413793101,3200.0,418.0,3410.2076079312033,spot
0.11137931034482756,3200.0,418.0,3423.2144916679363,spot
0.11620689655172411,3200.0,418.0,3436.288204646365,spot
0.12103448275862067,3200.0,418.0,3449.4547656050977,spot
0.12586206896551724,3200.0,418.0,3462.7106824346442,spot
0.1306896551724138,3200.0,418.0,3476.025701103835,spot
0.13551724137931034,3200.0,418.0,3489.4402346070665,spot
0.1403448275862069,3200.0,418.0,3502.9519106276607,spot
0.14517241379310344,3200.0,418.0,3516.5353416873877,spot
0.15,3200.0,418.0,3530.1779560039654,spot
0.01,3200.0,418.0,3166.3535692060264,spot
0.014827586206896552,3200.0,418.0,3177.859919890724,spot
0.019655172413793102,3200.0,418.0,3189.4132034663294,spot
0.024482758620689653,3200.0,418.0,3201.0516941274327,spot
0.029310344827586203,3200.0,418.0,3212.769135892857,spot
0.03413793103448275,3200.0,418.0,3224.5571654844207,spot
0.03896551724137931,3200.0,418.0,3236.3977771077134,spot
0.04379310344827586,3200.0,418.0,3248.320588908449,spot
0.04862068965517241,3200.0,418.0,3260.3111064702925,spot
0.05344827586206896,3200.0,418.0,3272.3894670139143,spot
0.05827586206896551,3200.0,418.0,3284.544820167379,spot
0.06310344827586206,3200.0,418.0,3296.7624458749565,spot
0.06793103448275861,3200.0,418.0,3309.054368552,spot
0.07275862068965516,3200.0,418.0,3321.4292455830964,spot
0.07758620689655171,3200.0,418.0,3333.872578101249,spot
0.08241379310344826,3200.0,418.0,3346.379419398082,spot
0.08724137931034481,3200.0,418.0,3359.001681793372,spot
0.09206896551724136,3200.0,418.0,3371.685417573489,spot
0.09689655172413791,3200.0,418.0,3384.4384084074086,spot
0.10172413793103446,3200.0,418.0,3397.284329858086,spot
0.10655172413793101,3200.0,418.0,3410.2076079312033,spot
0.11137931034482756,3200.0,418.0,3423.2144916679363,spot
0.11620689655172411,3200.0,418.0,3436.288204646365,spot
0.12103448275862067,3200.0,418.0,3449.4547656050977,spot
0.12586206896551724,3200.0,418.0,3462.7106824346442,spot
0.1306896551724138,3200.0,418.0,3476.025701103835,spot
0.13551724137931034,3200.0,418.0,3489.4402346070665,spot
0.1403448275862069,3200.0,418.0,3502.9519106276607,spot
0.14517241379310344,3200.0,418.0,3516.5353416873877,spot
0.15,3200.0,418.0,3530.1779560039654,spot
0.01,3200.0,418.0,3166.3535692060264,spot
0.014827586206896552,3200.0,418.0,3177.859919890724,spot
0.019655172413793102,3200.0,418.0,3189.4132034663294,spot
0.024482758620689653,3200.0,418.0,3201.0516941274327,spot
0.029310344827586203,3200.0,418.0,3212.769135892857,spot
0.03413793103448275,3200.0,418.0,3224.5571654844207,spot
0.03896551724137931,3200.0,418.0,3236.3977771077134,spot
0.04379310344827586,3200.0,418.0,3248.320588908449,spot
0.04862068965517241,3200.0,418.0,3260.3111064702925,spot
0.05344827586206896,3200.0,418.0,3272.3894670139143,spot
0.05827586206896551,3200.0,418.0,3284.544820167379,spot
0.06310344827586206,3200.0,418.0,3296.7624458749565,spot
0.06793103448275861,3200.0,418.0,3309.054368552,spot
0.07275862068965516,3200.0,418.0,3321.4292455830964,spot
0.07758620689655171,3200.0,418.0,3333.872578101249,spot
0.08241379310344826,3200.0,418.0,3346.379419398082,spot
0.08724137931034481,3200.0,418.0,3359.001681793372,spot
0.09206896551724136,3200.0,418.0,3371.685417573489,spot
0.09689655172413791,3200.0,418.0,3384.4384084074086,spot
0.10172413793103446,3200.0,418.0,3397.284329858086,spot
0.10655172413793101,3200.0,418.0,3410.2076079312033,spot
0.11137931034482756,3200.0,418.0,3423.2144916679363,spot
0.11620689655172411,3200.0,418.0,3436.288204646365,spot
0.12103448275862067,3200.0,418.0,3449.4547656050977,spot
0.12586206896551724,3200.0,418.0,3462.7106824346442,spot
0.1306896551724138,3200.0,418.0,3476.025701103835,spot
0.13551724137931034,3200.0,418.0,3489.4402346070665,spot
0.1403448275862069,3200.0,418.0,3502.9519106276607,spot
0.14517241379310344,3200.0,418.0,3516.5353416873877,spot
0.15,3200.0,418.0,3530.1779560039654,spot
0.01,3200.0,418.0,3166.3535692060264,spot
0.014827586206896552,3200.0,418.0,3177.859919890724,spot
0.019655172413793102,3200.0,418.0,3189.4132034663294,spot
0.024482758620689653,3200.0,418.0,3201.0516941274327,spot
0.029310344827586203,3200.0,418.0,3212.769135892857,spot
0.03413793103448275,3200.0,418.0,3224.5571654844207,spot
0.03896551724137931,3200.0,418.0,3236.3977771077134,spot
0.04379310344827586,3200.0,418.0,3248.320588908449,spot
0.04862068965517241,3200.0,418.0,3260.3111064702925,spot
0.05344827586206896,3200.0,418.0,3272.3894670139143,spot
0.05827586206896551,3200.0,418.0,3284.544820167379,spot
0.06310344827586206,3200.0,418.0,3296.7624458749565,spot
0.06793103448275861,3200.0,418.0,3309.054368552,spot
0.07275862068965516,3200.0,418.0,3321.4292455830964,spot
0.07758620689655171,3200.0,418.0,3333.872578101249,spot
0.08241379310344826,3200.0,418.0,3346.379419398082,spot
0.08724137931034481,3200.0,418.0,3359.001681793372,spot
0.09206896551724136,3200.0,418.0,3371.685417573489,spot
0.09689655172413791,3200.0,418.0,3384.4384084074086,spot
0.10172413793103446,3200.0,418.0,3397.284329858086,spot
0.10655172413793101,3200.0,418.0,3410.2076079312033,spot
0.11137931034482756,3200.0,418.0,3423.2144916679363,spot
0.11620689655172411,3200.0,418.0,3436.288204646365,spot
0.12103448275862067,3200.0,418.0,3449.4547656050977,spot
0.12586206896551724,3200.0,418.0,3462.7106824346442,spot
0.1306896551724138,3200.0,418.0,3476.025701103835,spot
0.13551724137931034,3200.0,418.0,3489.4402346070665,spot
0.1403448275862069,3200.0,418.0,3502.9519106276607,spot
0.14517241379310344,3200.0,418.0,3516.5353416873877,spot
0.15,3200.0,418.0,3530.1779560039654,spot
0.01,3200.0,418.0,3166.3535692060264,spot
0.014827586206896552,3200.0,418.0,3177.859919890724,spot
0.019655172413793102,3200.0,418.0,3189.4132034663294,spot
0.024482758620689653,3200.0,418.0,3201.0516941274327,spot
0.029310344827586203,3200.0,418.0,3212.769135892857,spot
0.03413793103448275,3200.0,418.0,3224.5571654844207,spot
0.03896551724137931,3200.0,418.0,3236.3977771077134,spot
0.04379310344827586,3200.0,418.0,3248.320588908449,spot
0.04862068965517241,3200.0,418.0,3260.3111064702925,spot
0.05344827586206896,3200.0,418.0,3272.3894670139143,spot
0.05827586206896551,3200.0,418.0,3284.544820167379,spot
0.06310344827586206,3200.0,418.0,3296.7624458749565,spot
0.06793103448275861,3200.0,418.0,3309.054368552,spot
0.07275862068965516,3200.0,418.0,3321.4292455830964,spot
0.07758620689655171,3200.0,418.0,3333.872578101249,spot
0.08241379310344826,3200.0,418.0,3346.379419398082,spot
0.08724137931034481,3200.0,418.0,3359.001681793372,spot
0.09206896551724136,3200.0,418.0,3371.685417573489,spot
0.09689655172413791,3200.0,418.0,3384.4384084074086,spot
0.10172413793103446,3200.0,418.0,3397.284329858086,spot
0.10655172413793101,3200.0,418.0,3410.2076079312033,spot
0.11137931034482756,3200.0,418.0,3423.2144916679363,spot
0.11620689655172411,3200.0,418.0,3436.288204646365,spot
0.12103448275862067,3200.0,418.0,3449.4547656050977,spot
0.12586206896551724,3200.0,418.0,3462.7106824346442,spot
0.1306896551724138,3200.0,418.0,3476.025701103835,spot
0.13551724137931034,3200.0,418.0,3489.4402346070665,spot
0.1403448275862069,3200.0,418.0,3502.9519106276607,spot
0.14517241379310344,3200.0,418.0,3516.5353416873877,spot
0.15,3200.0,418.0,3530.1779560039654,spot
0.01,3200.0,418.0,3166.3535692060264,spot
0.014827586206896552,3200.0,418.0,3177.859919890724,spot
0.019655172413793102,3200.0,418.0,3189.4132034663294,spot
0.024482758620689653,3200.0,418.0,3201.0516941274327,spot
0.029310344827586203,3200.0,418.0,3212.769135892857,spot
0.03413793103448275,3200.0,418.0,3224.5571654844207,spot
0.03896551724137931,3200.0,418.0,3236.3977771077134,spot
0.04379310344827586,3200.0,418.0,3248.320588908449,spot
0.04862068965517241,3200.0,418.0,3260.3111064702925,spot
0.05344827586206896,3200.0,418.0,3272.3894670139143,spot
0.05827586206896551,3200.0,418.0,3284.544820167379,spot
0.06310344827586206,3200.0,418.0,3296.7624458749565,spot
0.06793103448275861,3200.0,418.0,3309.054368552,spot
0.07275862068965516,3200.0,418.0,3321.4292455830964,spot
0.07758620689655171,3200.0,418.0,3333.872578101249,spot
0.08241379310344826,3200.0,418.0,3346.379419398082,spot
0.08724137931034481,3200.0,418.0,3359.001681793372,spot
0.09206896551724136,3200.0,418.0,3371.685417573489,spot
0.09689655172413791,3200.0,418.0,3384.4384084074086,spot
0.10172413793103446,3200.0,418.0,3397.284329858086,spot
0.10655172413793101,3200.0,418.0,3410.2076079312033,spot
0.11137931034482756,3200.0,418.0,3423.2144916679363,spot
0.11620689655172411,3200.0,418.0,3436.288204646365,spot
0.12103448275862067,3200.0,418.0,3449.4547656050977,spot
0.12586206896551724,3200.0,418.0,3462.7106824346442,spot
0.1306896551724138,3200.0,418.0,3476.025701103835,spot
0.13551724137931034,3200.0,418.0,3489.4402346070665,spot
0.1403448275862069,3200.0,418.0,3502.9519106276607,spot
0.14517241379310344,3200.0,418.0,3516.5353416873877,spot
0.15,3200.0,418.0,3530.1779560039654,spot
0.01,3200.0,418.0,3166.3535692060264,spot
0.014827586206896552,3200.0,418.0,3177.859919890724,spot
0.019655172413793102,3200.0,418.0,3189.4132034663294,spot
0.024482758620689653,3200.0,418.0,3201.0516941274327,spot
0.029310344827586203,3200.0,418.0,3212.769135892857,spot
0.03413793103448275,3200.0,418.0,3224.5571654844207,spot
0.03896551724137931,3200.0,418.0,3236.3977771077134,spot
0.04379310344827586,3200.0,418.0,3248.320588908449,spot
0.04862068965517241,3200.0,418.0,3260.3111064702925,spot
0.05344827586206896,3200.0,418.0,3272.3894670139143,spot
0.05827586206896551,3200.0,418.0,3284.544820167379,spot
0.06310344827586206,3200.0,418.0,3296.7624458749565,spot
0.06793103448275861,3200.0,418.0,3309.054368552,spot
0.07275862068965516,3200.0,418.0,3321.4292455830964,spot
0.07758620689655171,3200.0,418.0,3333.872578101249,spot
0.08241379310344826,3200.0,418.0,3346.379419398082,spot
0.08724137931034481,3200.0,418.0,3359.001681793372,spot
0.09206896551724136,3200.0,418.0,3371.685417573489,spot
0.09689655172413791,3200.0,418.0,3384.4384084074086,spot
0.10172413793103446,3200.0,418.0,3397.284329858086,spot
0.10655172413793101,3200.0,418.0,3410.2076079312033,spot
0.11137931034482756,3200.0,418.0,3423.2144916679363,spot
0.11620689655172411,3200.0,418.0,3436.288204646365,spot
0.12103448275862067,3200.0,418.0,3449.4547656050977,spot
0.12586206896551724,3200.0,418.0,3462.7106824346442,spot
0.1306896551724138,3200.0,418.0,3476.025701103835,spot
0.13551724137931034,3200.0,418.0,3489.4402346070665,spot
0.1403448275862069,3200.0,418.0,3502.9519106276607,spot
0.14517241379310344,3200.0,418.0,3516.5353416873877,spot
0.15,3200.0,418.0,3530.1779560039654,spot
0.01,3200.0,418.0,3166.3535692060264,spot
0.014827586206896552,3200.0,418.0,3177.859919890724,spot
0.019655172413793102,3200.0,418.0,3189.4132034663294,spot
0.024482758620689653,3200.0,418.0,3201.0516941274327,spot
0.029310344827586203,3200.0,418.0,3212.769135892857,spot
0.03413793103448275,3200.0,418.0,3224.5571654844207,spot
0.03896551724137931,3200.0,418.0,3236.3977771077134,spot
0.04379310344827586,3200.0,418.0,3248.320588908449,spot
0.04862068965517241,3200.0,418.0,3260.3111064702925,spot
0.05344827586206896,3200.0,418.0,3272.3894670139143,spot
0.05827586206896551,3200.0,418.0,3284.544820167379,spot
0.06310344827586206,3200.0,418.0,3296.7624458749565,spot
0.06793103448275861,3200.0,418.0,3309.054368552,spot
0.07275862068965516,3200.0,418.0,3321.4292455830964,spot
0.07758620689655171,3200.0,418.0,3333.872578101249,spot
0.08241379310344826,3200.0,418.0,3346.379419398082,spot
0.08724137931034481,3200.0,418.0,3359.001681793372,spot
0.09206896551724136,3200.0,418.0,3371.685417573489,spot
0.09689655172413791,3200.0,418.0,3384.4384084074086,spot
0.10172413793103446,3200.0,418.0,3397.284329858086,spot
0.10655172413793101,3200.0,418.0,3410.2076079312033,spot
0.11137931034482756,3200.0,418.0,3423.2144916679363,spot
0.11620689655172411,3200.0,418.0,3436.288204646365,spot
0.12103448275862067,3200.0,418.0,3449.4547656050977,spot
0.12586206896551724,3200.0,418.0,3462.7106824346442,spot
0.1306896551724138,3200.0,418.0,3476.025701103835,spot
0.13551724137931034,3200.0,418.0,3489.4402346070665,spot
0.1403448275862069,3200.0,418.0,3502.9519106276607,spot
0.14517241379310344,3200.0,418.0,3516.5353416873877,spot
0.15,3200.0,418.0,3530.1779560039654,spot
0.01,3200.0,418.0,3166.3535692060264,spot
0.014827586206896552,3200.0,418.0,3177.859919890724,spot
0.019655172413793102,3200.0,418.0,3189.4132034663294,spot
0.024482758620689653,3200.0,418.0,3201.0516941274327,spot
0.029310344827586203,3200.0,418.0,3212.769135892857,spot
0.03413793103448275,3200.0,418.0,3224.5571654844207,spot
0.03896551724137931,3200.0,418.0,3236.3977771077134,spot
0.04379310344827586,3200.0,418.0,3248.320588908449,spot
0.04862068965517241,3200.0,418.0,3260.3111064702925,spot
0.05344827586206896,3200.0,418.0,3272.3894670139143,spot
0.05827586206896551,3200.0,418.0,3284.544820167379,spot
0.06310344827586206,3200.0,418.0,3296.7624458749565,spot
0.06793103448275861,3200.0,418.0,3309.054368552,spot
0.07275862068965516,3200.0,418.0,3321.4292455830964,spot
0.07758620689655171,3200.0,418.0,3333.872578101249,spot
0.08241379310344826,3200.0,418.0,3346.379419398082,spot
0.08724137931034481,3200.0,418.0,3359.001681793372,spot
0.09206896551724136,3200.0,418.0,3371.685417573489,spot
0.09689655172413791,3200.0,418.0,3384.4384084074086,spot
0.10172413793103446,3200.0,418.0,3397.284329858086,spot
0.10655172413793101,3200.0,418.0,3410.2076079312033,spot
0.11137931034482756,3200.0,418.0,3423.2144916679363,spot
0.11620689655172411,3200.0,418.0,3436.288204646365,spot
0.12103448275862067,3200.0,418.0,3449.4547656050977,spot
0.12586206896551724,3200.0,418.0,3462.7106824346442,spot
0.1306896551724138,3200.0,418.0,3476.025701103835,spot
0.13551724137931034,3200.0,418.0,3489.4402346070665,spot
0.1403448275862069,3200.0,418.0,3502.9519106276607,spot
0.14517241379310344,3200.0,418.0,3516.5353416873877,spot
0.15,3200.0,418.0,3530.1779560039654,spot
