ff,T,lambdaEff_nm,D_lambda,type
0.03896551724137931,4450.0,446.0,18667.690532970904,spot
0.04379310344827586,4450.0,446.0,18714.882355027163,spot
0.04862068965517241,4450.0,446.0,18762.199228328445,spot
0.05344827586206896,4450.0,446.0,18809.69022571377,spot
0.05827586206896551,4450.0,446.0,18857.324863502556,spot
0.06310344827586206,4450.0,446.0,18905.02923998172,spot
0.06793103448275861,4450.0,446.0,18952.86184985612,spot
0.07275862068965516,4450.0,446.0,19000.85824145281,spot
0.07758620689655171,4450.0,446.0,19048.95121317407,spot
0.08241379310344826,4450.0,446.0,19097.122287230926,spot
0.08724137931034481,4450.0,446.0,19145.55293839981,spot
0.09206896551724136,4450.0,446.0,19194.051424946014,spot
0.09689655172413791,4450.0,446.0,19242.647416357282,spot
0.10172413793103446,4450.0,446.0,19291.41949276736,spot
0.10655172413793101,4450.0,446.0,19340.307188533858,spot
0.11137931034482756,4450.0,446.0,19389.321683202732,spot
0.11620689655172411,4450.0,446.0,19438.413046355407,spot
0.12103448275862067,4450.0,446.0,19487.677434777528,spot
0.12586206896551724,4450.0,446.0,19537.08600325821,spot
0.1306896551724138,4450.0,446.0,19586.52988515841,spot
0.13551724137931034,4450.0,446.0,19636.146139016095,spot
0.1403448275862069,4450.0,446.0,19685.94120832856,spot
0.14517241379310344,4450.0,446.0,19735.815199054206,spot
0.15,4450.0,446.0,19785.70528624002,spot
0.01,4450.0,446.0,18387.20354379675,spot
0.014827586206896552,4450.0,446.0,18433.67397884943,spot
0.019655172413793102,4450.0,446.0,18480.167309349315,spot
0.024482758620689653,4450.0,446.0,18526.858067426598,spot
0.029310344827586203,4450.0,446.0,18573.69744510329,spot
0.03413793103448275,4450.0,446.0,18620.669801254207,spot
0.03896551724137931,4450.0,446.0,18667.690532970904,spot
0.04379310344827586,4450.0,446.0,18714.882355027163,spot
0.04862068965517241,4450.0,446.0,18762.199228328445,spot
0.05344827586206896,4450.0,446.0,18809.69022571377,spot
0.05827586206896551,4450.0,446.0,18857.324863502556,spot
0.06310344827586206,4450.0,446.0,18905.02923998172,spot
0.06793103448275861,4450.0,446.0,18952.86184985612,spot
0.07275862068965516,4450.0,446.0,19000.85824145281,spot
0.07758620689655171,4450.0,446.0,19048.95121317407,spot
0.08241379310344826,4450.0,446.0,19097.122287230926,spot
0.08724137931034481,4450.0,446.0,19145.55293839981,spot
0.09206896551724136,4450.0,446.0,19194.051424946014,spot
0.09689655172413791,4450.0,446.0,19242.647416357282,spot
0.10172413793103446,4450.0,446.0,19291.41949276736,spot
0.10655172413793101,4450.0,446.0,19340.307188533858,spot
0.11137931034482756,4450.0,446.0,19389.321683202732,spot
0.11620689655172411,4450.0,446.0,19438.413046355407,spot
0.12103448275862067,4450.0,446.0,19487.677434777528,spot
0.12586206896551724,4450.0,446.0,19537.08600325821,spot
0.1306896551724138,4450.0,446.0,19586.52988515841,spot
0.13551724137931034,4450.0,446.0,19636.146139016095,spot
0.1403448275862069,4450.0,446.0,19685.94120832856,spot
0.14517241379310344,4450.0,446.0,19735.815199054206,spot
0.15,4450.0,446.0,19785.70528624002,spot
0.01,4450.0,446.0,18387.20354379675,spot
0.014827586206896552,4450.0,446.0,18433.67397884943,spot
0.019655172413793102,4450.0,446.0,18480.167309349315,spot
0.024482758620689653,4450.0,446.0,18526.858067426598,spot
0.029310344827586203,4450.0,446.0,18573.69744510329,spot
0.03413793103448275,4450.0,446.0,18620.669801254207,spot
0.03896551724137931,4450.0,446.0,18667.690532970904,spot
0.04379310344827586,4450.0,446.0,18714.882355027163,spot
0.04862068965517241,4450.0,446.0,18762.199228328445,spot
0.05344827586206896,4450.0,446.0,18809.69022571377,spot
0.05827586206896551,4450.0,446.0,18857.324863502556,spot
0.06310344827586206,4450.0,446.0,18905.02923998172,spot
0.06793103448275861,4450.0,446.0,18952.86184985612,spot
0.07275862068965516,4450.0,446.0,19000.85824145281,spot
0.07758620689655171,4450.0,446.0,19048.95121317407,spot
0.08241379310344826,4450.0,446.0,19097.122287230926,spot
0.08724137931034481,4450.0,446.0,19145.55293839981,spot
0.09206896551724136,4450.0,446.0,19194.051424946014,spot
0.09689655172413791,4450.0,446.0,19242.647416357282,spot
0.10172413793103446,4450.0,446.0,19291.41949276736,spot
0.10655172413793101,4450.0,446.0,19340.307188533858,spot
0.11137931034482756,4450.0,446.0,19389.321683202732,spot
0.11620689655172411,4450.0,446.0,19438.413046355407,spot
0.12103448275862067,4450.0,446.0,19487.677434777528,spot
0.12586206896551724,4450.0,446.0,19537.08600325821,spot
0.1306896551724138,4450.0,446.0,19586.52988515841,spot
0.13551724137931034,4450.0,446.0,19636.146139016095,spot
0.1403448275862069,4450.0,446.0,19685.94120832856,spot
0.14517241379310344,4450.0,446.0,19735.815199054206,spot
0.15,4450.0,446.0,19785.70528624002,spot
0.01,4450.0,446.0,18387.20354379675,spot
0.014827586206896552,4450.0,446.0,18433.67397884943,spot
0.019655172413793102,4450.0,446.0,18480.167309349315,spot
0.024482758620689653,4450.0,446.0,18526.858067426598,spot
0.029310344827586203,4450.0,446.0,18573.69744510329,spot
0.03413793103448275,4450.0,446.0,18620.669801254207,spot
0.03896551724137931,4450.0,446.0,18667.690532970904,spot
0.04379310344827586,4450.0,446.0,18714.882355027163,spot
0.04862068965517241,4450.0,446.0,18762.199228328445,spot
0.05344827586206896,4450.0,446.0,18809.69022571377,spot
0.05827586206896551,4450.0,446.0,18857.324863502556,spot
0.06310344827586206,4450.0,446.0,18905.02923998172,spot
0.06793103448275861,4450.0,446.0,18952.86184985612,spot
0.07275862068965516,4450.0,446.0,19000.85824145281,spot
0.07758620689655171,4450.0,446.0,19048.95121317407,spot
0.08241379310344826,4450.0,446.0,19097.122287230926,spot
0.08724137931034481,4450.0,446.0,19145.55293839981,spot
0.09206896551724136,4450.0,446.0,19194.051424946014,spot
0.09689655172413791,4450.0,446.0,19242.647416357282,spot
0.10172413793103446,4450.0,446.0,19291.41949276736,spot
0.10655172413793101,4450.0,446.0,19340.307188533858,spot
0.11137931034482756,4450.0,446.0,19389.321683202732,spot
0.11620689655172411,4450.0,446.0,19438.413046355407,spot
0.12103448275862067,4450.0,446.0,19487.677434777528,spot
0.12586206896551724,4450.0,446.0,19537.08600325821,spot
0.1306896551724138,4450.0,446.0,19586.52988515841,spot
0.13551724137931034,4450.0,446.0,19636.146139016095,spot
0.1403448275862069,4450.0,446.0,19685.94120832856,spot
0.14517241379310344,4450.0,446.0,19735.815199054206,spot
0.15,4450.0,446.0,19785.70528624002,spot
0.01,4450.0,446.0,18387.20354379675,spot
0.014827586206896552,4450.0,446.0,18433.67397884943,spot
0.019655172413793102,4450.0,446.0,18480.167309349315,spot
0.024482758620689653,4450.0,446.0,18526.858067426598,spot
0.029310344827586203,4450.0,446.0,18573.69744510329,spot
0.03413793103448275,4450.0,446.0,18620.669801254207,spot
0.03896551724137931,4450.0,446.0,18667.690532970904,spot
0.04379310344827586,4450.0,446.0,18714.882355027163,spot
0.04862068965517241,4450.0,446.0,18762.199228328445,spot
0.05344827586206896,4450.0,446.0,18809.69022571377,spot
0.05827586206896551,4450.0,446.0,18857.324863502556,spot
0.06310344827586206,4450.0,446.0,18905.02923998172,spot
0.06793103448275861,4450.0,446.0,18952.86184985612,spot
0.07275862068965516,4450.0,446.0,19000.85824145281,spot
0.07758620689655171,4450.0,446.0,19048.95121317407,spot
0.08241379310344826,4450.0,446.0,19097.122287230926,spot
0.08724137931034481,4450.0,446.0,19145.55293839981,spot
0.09206896551724136,4450.0,446.0,19194.051424946014,spot
0.09689655172413791,4450.0,446.0,19242.647416357282,spot
0.10172413793103446,4450.0,446.0,19291.41949276736,spot
0.10655172413793101,4450.0,446.0,19340.307188533858,spot
0.11137931034482756,4450.0,446.0,19389.321683202732,spot
0.11620689655172411,4450.0,446.0,19438.413046355407,spot
0.12103448275862067,4450.0,446.0,19487.677434777528,spot
0.12586206896551724,4450.0,446.0,19537.08600325821,spot
0.1306896551724138,4450.0,446.0,19586.52988515841,spot
0.13551724137931034,4450.0,446.0,19636.146139016095,spot
0.1403448275862069,4450.0,446.0,19685.94120832856,spot
0.14517241379310344,4450.0,446.0,19735.815199054206,spot
0.15,4450.0,446.0,19785.70528624002,spot
0.01,4450.0,446.0,18387.20354379675,spot
0.014827586206896552,4450.0,446.0,18433.67397884943,spot
0.019655172413793102,4450.0,446.0,18480.167309349315,spot
0.024482758620689653,4450.0,446.0,18526.858067426598,spot
0.029310344827586203,4450.0,446.0,18573.69744510329,spot
0.03413793103448275,4450.0,446.0,18620.669801254207,spot
0.03896551724137931,4450.0,446.0,18667.690532970904,spot
0.04379310344827586,4450.0,446.0,18714.882355027163,spot
0.04862068965517241,4450.0,446.0,18762.199228328445,spot
0.05344827586206896,4450.0,446.0,18809.69022571377,spot
0.05827586206896551,4450.0,446.0,18857.324863502556,spot
0.06310344827586206,4450.0,446.0,18905.02923998172,spot
0.06793103448275861,4450.0,446.0,18952.86184985612,spot
0.07275862068965516,4450.0,446.0,19000.85824145281,spot
0.07758620689655171,4450.0,446.0,19048.95121317407,spot
0.08241379310344826,4450.0,446.0,19097.122287230926,spot
0.08724137931034481,4450.0,446.0,19145.55293839981,spot
0.09206896551724136,4450.0,446.0,19194.051424946014,spot
0.09689655172413791,4450.0,446.0,19242.647416357282,spot
0.10172413793103446,4450.0,446.0,19291.41949276736,spot
0.10655172413793101,4450.0,446.0,19340.307188533858,spot
0.11137931034482756,4450.0,446.0,19389.321683202732,spot
0.11620689655172411,4450.0,446.0,19438.413046355407,spot
0.12103448275862067,4450.0,446.0,19487.677434777528,spot
0.12586206896551724,4450.0,446.0,19537.08600325821,spot
0.1306896551724138,4450.0,446.0,19586.52988515841,spot
0.13551724137931034,4450.0,446.0,19636.146139016095,spot
0.1403448275862069,4450.0,446.0,19685.94120832856,spot
0.14517241379310344,4450.0,446.0,19735.815199054206,spot
0.15,4450.0,446.0,19785.70528624002,spot
0.01,4450.0,446.0,18387.20354379675,spot
0.014827586206896552,4450.0,446.0,18433.67397884943,spot
0.019655172413793102,4450.0,446.0,18480.167309349315,spot
0.024482758620689653,4450.0,446.0,18526.858067426598,spot
0.029310344827586203,4450.0,446.0,18573.69744510329,spot
0.03413793103448275,4450.0,446.0,18620.669801254207,spot
0.03896551724137931,4450.0,446.0,18667.690532970904,spot
0.04379310344827586,4450.0,446.0,18714.882355027163,spot
0.04862068965517241,4450.0,446.0,18762.199228328445,spot
0.05344827586206896,4450.0,446.0,18809.69022571377,spot
0.05827586206896551,4450.0,446.0,18857.324863502556,spot
0.06310344827586206,4450.0,446.0,18905.02923998172,spot
0.06793103448275861,4450.0,446.0,18952.86184985612,spot
0.07275862068965516,4450.0,446.0,19000.85824145281,spot
0.07758620689655171,4450.0,446.0,19048.95121317407,spot
0.08241379310344826,4450.0,446.0,19097.122287230926,spot
0.08724137931034481,4450.0,446.0,19145.55293839981,spot
0.09206896551724136,4450.0,446.0,19194.051424946014,spot
0.09689655172413791,4450.0,446.0,19242.647416357282,spot
0.10172413793103446,4450.0,446.0,19291.41949276736,spot
0.10655172413793101,4450.0,446.0,19340.307188533858,spot
0.11137931034482756,4450.0,446.0,19389.321683202732,spot
0.11620689655172411,4450.0,446.0,19438.413046355407,spot
0.12103448275862067,4450.0,446.0,19487.677434777528,spot
0.12586206896551724,4450.0,446.0,19537.08600325821,spot
0.1306896551724138,4450.0,446.0,19586.52988515841,spot
0.13551724137931034,4450.0,446.0,19636.146139016095,spot
0.1403448275862069,4450.0,446.0,19685.94120832856,spot
0.14517241379310344,4450.0,446.0,19735.815199054206,spot
0.15,4450.0,446.0,19785.70528624002,spot
0.01,4450.0,446.0,18387.20354379675,spot
0.014827586206896552,4450.0,446.0,18433.67397884943,spot
0.019655172413793102,4450.0,446.0,18480.167309349315,spot
0.024482758620689653,4450.0,446.0,18526.858067426598,spot
0.029310344827586203,4450.0,446.0,18573.69744510329,spot
0.03413793103448275,4450.0,446.0,18620.669801254207,spot
0.03896551724137931,4450.0,446.0,18667.690532970904,spot
0.04379310344827586,4450.0,446.0,18714.882355027163,spot
0.04862068965517241,4450.0,446.0,18762.199228328445,spot
0.05344827586206896,4450.0,446.0,18809.69022571377,spot
0.05827586206896551,4450.0,446.0,18857.324863502556,spot
0.06310344827586206,4450.0,446.0,18905.02923998172,spot
0.06793103448275861,4450.0,446.0,18952.86184985612,spot
0.07275862068965516,4450.0,446.0,19000.85824145281,spot
0.07758620689655171,4450.0,446.0,19048.95121317407,spot
0.08241379310344826,4450.0,446.0,19097.122287230926,spot
0.08724137931034481,4450.0,446.0,19145.55293839981,spot
0.09206896551724136,4450.0,446.0,19194.051424946014,spot
0.09689655172413791,4450.0,446.0,19242.647416357282,spot
0.10172413793103446,4450.0,446.0,19291.41949276736,spot
0.10655172413793101,4450.0,446.0,19340.307188533858,spot
0.11137931034482756,4450.0,446.0,19389.321683202732,spot
0.11620689655172411,4450.0,446.0,19438.413046355407,spot
0.12103448275862067,4450.0,446.0,19487.677434777528,spot
0.12586206896551724,4450.0,446.0,19537.08600325821,spot
0.1306896551724138,4450.0,446.0,19586.52988515841,spot
0.13551724137931034,4450.0,446.0,19636.146139016095,spot
0.1403448275862069,4450.0,446.0,19685.94120832856,spot
0.14517241379310344,4450.0,446.0,19735.815199054206,spot
0.15,4450.0,446.0,19785.70528624002,spot
0.01,4450.0,446.0,18387.20354379675,spot
0.014827586206896552,4450.0,446.0,18433.67397884943,spot
0.019655172413793102,4450.0,446.0,18480.167309349315,spot
0.024482758620689653,4450.0,446.0,18526.858067426598,spot
0.029310344827586203,4450.0,446.0,18573.69744510329,spot
0.03413793103448275,4450.0,446.0,18620.669801254207,spot
0.03896551724137931,4450.0,446.0,18667.690532970904,spot
0.04379310344827586,4450.0,446.0,18714.882355027163,spot
0.04862068965517241,4450.0,446.0,18762.199228328445,spot
0.05344827586206896,4450.0,446.0,18809.69022571377,spot
0.05827586206896551,4450.0,446.0,18857.324863502556,spot
0.06310344827586206,4450.0,446.0,18905.02923998172,spot
0.06793103448275861,4450.0,446.0,18952.86184985612,spot
0.07275862068965516,4450.0,446.0,19000.85824145281,spot
0.07758620689655171,4450.0,446.0,19048.95121317407,spot
0.08241379310344826,4450.0,446.0,19097.122287230926,spot
0.08724137931034481,4450.0,446.0,19145.55293839981,spot
0.09206896551724136,4450.0,446.0,19194.051424946014,spot
0.09689655172413791,4450.0,446.0,19242.647416357282,spot
0.10172413793103446,4450.0,446.0,19291.41949276736,spot
0.10655172413793101,4450.0,446.0,19340.307188533858,spot
0.11137931034482756,4450.0,446.0,19389.321683202732,spot
0.11620689655172411,4450.0,446.0,19438.413046355407,spot
0.12103448275862067,4450.0,446.0,19487.677434777528,spot
0.12586206896551724,4450.0,446.0,19537.08600325821,spot
0.1306896551724138,4450.0,446.0,19586.52988515841,spot
0.13551724137931034,4450.0,446.0,19636.146139016095,spot
0.1403448275862069,4450.0,446.0,19685.94120832856,spot
0.14517241379310344,4450.0,446.0,19735.815199054206,spot
0.15,4450.0,446.0,19785.70528624002,spot
0.01,4450.0,446.0,18387.20354379675,spot
0.014827586206896552,4450.0,446.0,18433.67397884943,spot
0.019655172413793102,4450.0,446.0,18480.167309349315,spot
0.024482758620689653,4450.0,446.0,18526.858067426598,spot
0.029310344827586203,4450.0,446.0,18573.69744510329,spot
0.03413793103448275,4450.0,446.0,18620.669801254207,spot
0.03896551724137931,4450.0,446.0,18667.690532970904,spot
0.04379310344827586,4450.0,446.0,18714.882355027163,spot
0.04862068965517241,4450.0,446.0,18762.199228328445,spot
0.05344827586206896,4450.0,446.0,18809.69022571377,spot
0.05827586206896551,4450.0,446.0,18857.324863502556,spot
0.06310344827586206,4450.0,446.0,18905.02923998172,spot
0.06793103448275861,4450.0,446.0,18952.86184985612,spot
0.07275862068965516,4450.0,446.0,19000.85824145281,spot
0.07758620689655171,4450.0,446.0,19048.95121317407,spot
0.08241379310344826,4450.0,446.0,19097.122287230926,spot
0.08724137931034481,4450.0,446.0,19145.55293839981,spot
0.09206896551724136,4450.0,446.0,19194.051424946014,spot
0.09689655172413791,4450.0,446.0,19242.647416357282,spot
0.10172413793103446,4450.0,446.0,19291.41949276736,spot
0.10655172413793101,4450.0,446.0,19340.307188533858,spot
0.11137931034482756,4450.0,446.0,19389.321683202732,spot
0.11620689655172411,4450.0,446.0,19438.413046355407,spot
0.12103448275862067,4450.0,446.0,19487.677434777528,spot
0.12586206896551724,4450.0,446.0,19537.08600325821,spot
0.1306896551724138,4450.0,446.0,19586.52988515841,spot
0.13551724137931034,4450.0,446.0,19636.146139016095,spot
0.1403448275862069,4450.0,446.0,19685.94120832856,spot
0.14517241379310344,4450.0,446.0,19735.815199054206,spot
0.15,4450.0,446.0,19785.70528624002,spot
0.01,4450.0,446.0,18387.20354379675,spot
0.014827586206896552,4450.0,446.0,18433.67397884943,spot
0.019655172413793102,4450.0,446.0,18480.167309349315,spot
0.024482758620689653,4450.0,446.0,18526.858067426598,spot
0.029310344827586203,4450.0,446.0,18573.69744510329,spot
0.03413793103448275,4450.0,446.0,18620.669801254207,spot
0.03896551724137931,4450.0,446.0,18667.690532970904,spot
0.04379310344827586,4450.0,446.0,18714.882355027163,spot
0.04862068965517241,4450.0,446.0,18762.199228328445,spot
0.05344827586206896,4450.0,446.0,18809.69022571377,spot
0.05827586206896551,4450.0,446.0,18857.324863502556,spot
0.06310344827586206,4450.0,446.0,18905.02923998172,spot
0.06793103448275861,4450.0,446.0,18952.86184985612,spot
0.07275862068965516,4450.0,446.0,19000.85824145281,spot
0.07758620689655171,4450.0,446.0,19048.95121317407,spot
0.08241379310344826,4450.0,446.0,19097.122287230926,spot
0.08724137931034481,4450.0,446.0,19145.55293839981,spot
0.09206896551724136,4450.0,446.0,19194.051424946014,spot
0.09689655172413791,4450.0,446.0,19242.647416357282,spot
0.10172413793103446,4450.0,446.0,19291.41949276736,spot
0.10655172413793101,4450.0,446.0,19340.307188533858,spot
0.11137931034482756,4450.0,446.0,19389.321683202732,spot
0.11620689655172411,4450.0,446.0,19438.413046355407,spot
0.12103448275862067,4450.0,446.0,19487.677434777528,spot
0.12586206896551724,4450.0,446.0,19537.08600325821,spot
0.1306896551724138,4450.0,446.0,19586.52988515841,spot
0.13551724137931034,4450.0,446.0,19636.146139016095,spot
0.1403448275862069,4450.0,446.0,19685.94120832856,spot
0.14517241379310344,4450.0,446.0,19735.815199054206,spot
0.15,4450.0,446.0,19785.70528624002,spot
0.01,4450.0,446.0,18387.20354379675,spot
0.014827586206896552,4450.0,446.0,18433.67397884943,spot
0.019655172413793102,4450.0,446.0,18480.167309349315,spot
0.024482758620689653,4450.0,446.0,18526.858067426598,spot
0.029310344827586203,4450.0,446.0,18573.69744510329,spot
0.03413793103448275,4450.0,446.0,18620.669801254207,spot
0.03896551724137931,4450.0,446.0,18667.690532970904,spot
0.04379310344827586,4450.0,446.0,18714.882355027163,spot
0.04862068965517241,4450.0,446.0,18762.199228328445,spot
0.05344827586206896,4450.0,446.0,18809.69022571377,spot
0.05827586206896551,4450.0,446.0,18857.324863502556,spot
0.06310344827586206,4450.0,446.0,18905.02923998172,spot
0.06793103448275861,4450.0,446.0,18952.86184985612,spot
0.07275862068965516,4450.0,446.0,19000.85824145281,spot
0.07758620689655171,4450.0,446.0,19048.95121317407,spot
0.08241379310344826,4450.0,446.0,19097.122287230926,spot
0.08724137931034481,4450.0,446.0,19145.55293839981,spot
0.09206896551724136,4450.0,446.0,19194.051424946014,spot
0.09689655172413791,4450.0,446.0,19242.647416357282,spot
0.10172413793103446,4450.0,446.0,19291.41949276736,spot
0.10655172413793101,4450.0,446.0,19340.307188533858,spot
0.11137931034482756,4450.0,446.0,19389.321683202732,spot
0.11620689655172411,4450.0,446.0,19438.413046355407,spot
0.12103448275862067,4450.0,446.0,19487.677434777528,spot
0.12586206896551724,4450.0,446.0,19537.08600325821,spot
0.1306896551724138,4450.0,446.0,19586.52988515841,spot
0.13551724137931034,4450.0,446.0,19636.146139016095,spot
0.1403448275862069,4450.0,446.0,19685.94120832856,spot
0.14517241379310344,4450.0,446.0,19735.815199054206,spot
0.15,4450.0,446.0,19785.70528624002,spot
0.01,4450.0,446.0,18387.20354379675,spot
0.014827586206896552,4450.0,446.0,18433.67397884943,spot
0.019655172413793102,4450.0,446.0,18480.167309349315,spot
0.024482758620689653,4450.0,446.0,18526.858067426598,spot
0.029310344827586203,4450.0,446.0,18573.69744510329,spot
0.03413793103448275,4450.0,446.0,18620.669801254207,spot
0.03896551724137931,4450.0,446.0,18667.690532970904,spot
0.04379310344827586,4450.0,446.0,18714.882355027163,spot
0.04862068965517241,4450.0,446.0,18762.199228328445,spot
0.05344827586206896,4450.0,446.0,18809.69022571377,spot
0.05827586206896551,4450.0,446.0,18857.324863502556,spot
0.06310344827586206,4450.0,446.0,18905.02923998172,spot
0.06793103448275861,4450.0,446.0,18952.86184985612,spot
0.07275862068965516,4450.0,446.0,19000.85824145281,spot
0.07758620689655171,4450.0,446.0,19048.95121317407,spot
0.08241379310344826,4450.0,446.0,19097.122287230926,spot
0.08724137931034481,4450.0,446.0,19145.55293839981,spot
0.09206896551724136,4450.0,446.0,19194.051424946014,spot
0.09689655172413791,4450.0,446.0,19242.647416357282,spot
0.10172413793103446,4450.0,446.0,19291.41949276736,spot
0.10655172413793101,4450.0,446.0,19340.307188533858,spot
0.11137931034482756,4450.0,446.0,19389.321683202732,spot
0.11620689655172411,4450.0,446.0,19438.413046355407,spot
0.12103448275862067,4450.0,446.0,19487.677434777528,spot
0.12586206896551724,4450.0,446.0,19537.08600325821,spot
0.1306896551724138,4450.0,446.0,19586.52988515841,spot
0.13551724137931034,4450.0,446.0,19636.146139016095,spot
0.1403448275862069,4450.0,446.0,19685.94120832856,spot
0.14517241379310344,4450.0,446.0,19735.815199054206,spot
